#Al mole fraction	Al	Ni
0.49	-4.73043361147	-6.11036410961
0.490166666667	-4.72970343302	-6.11106588824
0.490333333333	-4.72896123072	-6.11177969896
0.4905	-4.72820659559	-6.11250595112
0.490666666667	-4.72743909748	-6.11324507524
0.490833333333	-4.72665828364	-6.11399752446
0.491	-4.72586367709	-6.11476377621
0.491166666667	-4.72505477483	-6.11554433391
0.491333333333	-4.72423104599	-6.11633972891
0.4915	-4.7233919297	-6.11715052262
0.491666666667	-4.7225368328	-6.11797730873
0.491833333333	-4.72166512732	-6.11882071579
0.492	-4.72077614773	-6.11968140997
0.492166666667	-4.71986918787	-6.12056009809
0.492333333333	-4.71894349762	-6.12145753099
0.4925	-4.71799827919	-6.12237450724
0.492666666667	-4.71703268299	-6.12331187727
0.492833333333	-4.71604580309	-6.1242705479
0.493	-4.71503667214	-6.12525148744
0.493166666667	-4.71400425574	-6.12625573137
0.493333333333	-4.71294744613	-6.12728438857
0.4935	-4.71186505509	-6.12833864849
0.493666666667	-4.71075580609	-6.12941978902
0.493833333333	-4.70961832527	-6.13052918548
0.494	-4.70845113145	-6.13166832066
0.494166666667	-4.70725262469	-6.13283879625
0.494333333333	-4.70602107335	-6.13404234582
0.4945	-4.70475459932	-6.13528084959
0.494666666667	-4.70345116125	-6.13655635126
0.494833333333	-4.70210853512	-6.13787107744
0.495	-4.70072429208	-6.13922745984
0.495166666667	-4.69929577269	-6.14062816109
0.495333333333	-4.69782005713	-6.14207610461
0.4955	-4.69629393039	-6.14357450937
0.495666666667	-4.69471384162	-6.14512693074
0.495833333333	-4.69307585624	-6.14673730837
0.496	-4.69137559932	-6.14841002295
0.496166666667	-4.68960818827	-6.15014996361
0.496333333333	-4.68776815241	-6.15196260858
0.4965	-4.68584933608	-6.15385412211
0.496666666667	-4.68384478145	-6.15583147203
0.496833333333	-4.68174658554	-6.15790257295
0.497	-4.67954572463	-6.16007646221
0.497166666667	-4.6772318368	-6.1623635178
0.497333333333	-4.67479295056	-6.16477573031
0.4975	-4.67221514292	-6.16732704563
0.497666666667	-4.66948210473	-6.17003380062
0.497833333333	-4.66657458245	-6.17291528268
0.498	-4.66346965382	-6.17599445591
0.498166666667	-4.66013977788	-6.17929891361
0.498333333333	-4.65655153543	-6.18286214133
0.4985	-4.65266394155	-6.18672520939
0.498666666667	-4.64842616389	-6.19093906185
0.498833333333	-4.64377441769	-6.19556763233
0.499	-4.63862773922	-6.20069208682
0.499166666667	-4.63288230329	-6.20641653132
0.499333333333	-4.62640408828	-6.21287538585
0.4995	-4.61902043743	-6.22024188414
0.499666666667	-4.61051363113	-6.22873459351
0.499833333333	-4.60062689682	-6.23861153024
0.5	-4.58910981584	-6.25012486914
0.500166666667	-4.57584994595	-6.26338925478
0.500333333333	-4.56109889394	-6.27815513237
0.5005	-4.54560269756	-6.29367719159
0.500666666667	-4.53033964683	-6.30897586015
0.500833333333	-4.5160479798	-6.32331039993
0.501	-4.50304245962	-6.33636362062
0.501166666667	-4.4913371807	-6.34811966286
0.501333333333	-4.48081227554	-6.35869726299
0.5015	-4.47131269419	-6.36825077547
0.501666666667	-4.46268989357	-6.37692831562
0.501833333333	-4.45481492782	-6.38485856128
0.502	-4.44758001978	-6.39214911736
0.502166666667	-4.44089626451	-6.39888877507
0.502333333333	-4.4346904658	-6.40515065358
0.5025	-4.42890215392	-6.41099516909
0.502666666667	-4.42348107525	-6.41647253724
0.502833333333	-4.41838517193	-6.4216247884
0.503	-4.41357898504	-6.42648736117
0.503166666667	-4.40903239994	-6.43109035502
0.503333333333	-4.40471965959	-6.43545951538
0.5035	-4.40061858578	-6.43961701154
0.503666666667	-4.39670996083	-6.44358205425
0.503833333333	-4.39297703341	-6.4473713893
0.504	-4.38940512101	-6.45099969484
0.504166666667	-4.38598128765	-6.45447990331
0.504333333333	-4.38269408102	-6.45782346417
0.5045	-4.37953331646	-6.46104055973
0.504666666667	-4.3764898984	-6.46414028363
0.504833333333	-4.3735556718	-6.46713078935
0.505	-4.37072329777	-6.47001941439
0.505166666667	-4.36798614903	-6.47281278496
0.505333333333	-4.3653382213	-6.47551690438
0.5055	-4.3627740581	-6.47813722835
0.505666666667	-4.36028868637	-6.48067872924
0.505833333333	-4.35787756133	-6.48314595127
0.506	-4.35553651886	-6.48554305806
0.506166666667	-4.3532617343	-6.48787387384
0.506333333333	-4.35104968671	-6.49014191919
0.5065	-4.34889712761	-6.49235044229
0.506666666667	-4.34680105369	-6.49450244619
0.506833333333	-4.34475868278	-6.49660071279
0.507	-4.34276743276	-6.49864782404
0.507166666667	-4.34082490286	-6.50064618052
0.507333333333	-4.33892885709	-6.50259801806
0.5075	-4.33707720957	-6.50450542245
0.507666666667	-4.33526801136	-6.50637034247
0.507833333333	-4.33349943881	-6.50819460171
0.508	-4.33176978301	-6.50997990897
0.508166666667	-4.33007744043	-6.51172786773
0.508333333333	-4.3284209044	-6.51343998458
0.5085	-4.32679875752	-6.51511767688
0.508666666667	-4.3252096647	-6.51676227967
0.508833333333	-4.32365236696	-6.5183750519
0.509	-4.32212567575	-6.51995718209
0.509166666667	-4.32062846777	-6.52150979351
0.509333333333	-4.31915968034	-6.52303394883
0.5095	-4.31771830706	-6.52453065443
0.509666666667	-4.31630339397	-6.52600086427
0.509833333333	-4.3149140359	-6.5274454835
0.51	-4.31354937328	-6.5288653717
