#Al mole fraction	$Vac_{Al}$	$Vac_{Ni}$	$Ni_{Al}$	$Al_{Ni}$
0.49	1.45087530413e-07	0.000305022925573	0.0201493872405	1.63261694561e-12
0.490166666667	1.43863343916e-07	0.000307517114679	0.019817327961	1.65997308604e-12
0.490333333333	1.4262958395e-07	0.000310074990629	0.0194853007452	1.68825883073e-12
0.4905	1.41386004373e-07	0.000312699285869	0.0191533069653	1.71752225932e-12
0.490666666667	1.40132348577e-07	0.000315392899229	0.0188213480769	1.74781481741e-12
0.490833333333	1.38868348859e-07	0.000318158909142	0.0184894256259	1.77919161569e-12
0.491	1.37593725745e-07	0.000321000588163	0.0181575412554	1.81171176151e-12
0.491166666667	1.36308187259e-07	0.000323921418949	0.017825696714	1.84543872704e-12
0.491333333333	1.3501142813e-07	0.000326925111868	0.0174938938644	1.88044075879e-12
0.4915	1.3370312894e-07	0.000330015624446	0.0171621346933	1.91679133397e-12
0.491666666667	1.323829552e-07	0.000333197182869	0.0168304213222	1.95456967017e-12
0.491833333333	1.31050556339e-07	0.000336474305821	0.0164987560192	1.99386129561e-12
0.492	1.29705564615e-07	0.000339851830937	0.0161671412124	2.03475868864e-12
0.492166666667	1.28347593926e-07	0.000343334944239	0.0158355795046	2.07736199631e-12
0.492333333333	1.26976238516e-07	0.000346929212952	0.0155040736897	2.12177984386e-12
0.4925	1.25591071556e-07	0.000350640622161	0.0151726267711	2.16813024856e-12
0.492666666667	1.24191643602e-07	0.000354475615854	0.0148412419824	2.2165416541e-12
0.492833333333	1.22777480899e-07	0.000358441142986	0.0145099228103	2.26715410431e-12
0.493	1.21348083519e-07	0.000362544709301	0.0141786730205	2.32012057862e-12
0.493166666667	1.19902923318e-07	0.000366794435781	0.0138474966875	2.37560851574e-12
0.493333333333	1.18441441688e-07	0.000371199124738	0.013516398227	2.4338015572e-12
0.4935	1.16963047063e-07	0.000375768334759	0.0131853824339	2.49490154854e-12
0.493666666667	1.15467112177e-07	0.000380512465937	0.0128544545251	2.55913084358e-12
0.493833333333	1.13952971012e-07	0.000385442857082	0.0125236201877	2.62673496637e-12
0.494	1.12419915412e-07	0.000390571896958	0.0121928856353	2.69798569727e-12
0.494166666667	1.10867191316e-07	0.000395913151977	0.0118622576717	2.77318466374e-12
0.494333333333	1.09293994544e-07	0.000401481513307	0.0115317437646	2.85266753442e-12
0.4945	1.07699466089e-07	0.000407293366945	0.0112013521308	2.93680893774e-12
0.494666666667	1.06082686833e-07	0.000413366791107	0.0108710918352	3.02602825466e-12
0.494833333333	1.04442671596e-07	0.000419721786247	0.0105409729061	3.1207964716e-12
0.495	1.02778362428e-07	0.000426380544217	0.0102110064695	3.22164432572e-12
0.495166666667	1.01088621011e-07	0.000433367764667	0.00988120490856	3.32917203488e-12
0.495333333333	9.93722200374e-08	0.000440711028718	0.00955158204982	3.44406098182e-12
0.4955	9.76278333891e-08	0.000448441242493	0.00922215338598	3.56708782382e-12
0.495666666667	9.58540249104e-08	0.00045659316637	0.00889293634078	3.6991416324e-12
0.495833333333	9.40492355373e-08	0.000465206050078	0.00856395058718	3.84124484578e-12
0.496	9.2211768481e-08	0.000474324399381	0.00823521843136	3.99457905418e-12
0.496166666667	9.03397721123e-08	0.000483998907516	0.00790676527925	4.16051696119e-12
0.496333333333	8.84312201114e-08	0.000494287594511	0.00757862020722	4.34066230435e-12
0.4965	8.64838883592e-08	0.000505257210922	0.00725081666512	4.5369001275e-12
0.496666666667	8.44953279243e-08	0.000516984980838	0.00692339334925	4.75146064842e-12
0.496833333333	8.24628333659e-08	0.000529560784254	0.00659639529542	4.98700116946e-12
0.497	8.03834053919e-08	0.000543089914124	0.00626987525972	5.24671220556e-12
0.497166666667	7.825370671e-08	0.00055769659313	0.00594389547985	5.53445651325e-12
0.497333333333	7.60700096585e-08	0.000573528506315	0.00561852994514	5.8549534084e-12
0.4975	7.38281339302e-08	0.000590762708916	0.00529386735526	6.21402631477e-12
0.497666666667	7.15233724105e-08	0.000609613420558	0.00497001502368	6.61893996211e-12
0.497833333333	6.91504029116e-08	0.000630342444005	0.00464710409542	7.07886683341e-12
0.498	6.6703183508e-08	0.000653273291611	0.00432529662183	7.60554337163e-12
0.498166666667	6.41748295654e-08	0.000678810635818	0.00400479530155	8.2142103592e-12
0.498333333333	6.15574719856e-08	0.000707467538586	0.00368585711765	8.92498813775e-12
0.4985	5.88420999466e-08	0.000739904256217	0.00336881277218	9.76493301266e-12
0.498666666667	5.6018400194e-08	0.000776984597032	0.0030540949126	1.07711881896e-11
0.498833333333	5.30746245253e-08	0.00081985939983	0.00274227994338	1.1995941965e-11
0.499	4.99975599701e-08	0.000870092643587	0.00243415119389	1.35144567581e-11
0.499166666667	4.67727693247e-08	0.000929855427175	0.00213079609081	1.54384697787e-11
0.499333333333	4.33854707846e-08	0.00100222822118	0.00183375758805	1.79392474048e-11
0.4995	3.98228509435e-08	0.00109167194316	0.00154527022556	2.1288335534e-11
0.499666666667	3.60794515509e-08	0.00120474053907	0.0012686173302	2.59307753957e-11
0.499833333333	3.21686602761e-08	0.00135104899793	0.00100861660039	3.26151989168e-11
0.5	2.81442341294e-08	0.00154417237846	0.000772072159723	4.26077156626e-11
0.500166666667	2.41302946636e-08	0.00180113119365	0.000567520448864	5.79648383037e-11
0.500333333333	2.03338955187e-08	0.00213777553686	0.000402923615083	8.16438397281e-11
0.5005	1.69872542684e-08	0.00255970458461	0.000281123776483	1.1701689364e-10
0.500666666667	1.42298653183e-08	0.00305697403546	0.000197184728471	1.6682950707e-10
